1 	 3193 	 v3193 	 0.706
2 	 4388 	 v4388 	 0.140
3 	 4788 	 v4788 	 0.283
4 	 6796 	 v6796 	 0.206
5 	 1775 	 v1775 	 0.203
6 	 2295 	 v2295 	 0.173
7 	 2062 	 v2062 	 0.175
8 	 1720 	 v1720 	 0.176
9 	 1823 	 v1823 	 0.158
10 	 1085 	 v1085 	 0.149
11 	 5982 	 v5982 	 0.150
12 	 1626 	 v1626 	 0.158
13 	 4980 	 v4980 	 0.145
14 	 2229 	 v2229 	 0.156
15 	 1869 	 v1869 	 0.133
16 	 1961 	 v1961 	 0.132
17 	 4269 	 v4269 	 0.133
18 	 2583 	 v2583 	 0.131
19 	 1686 	 v1686 	 0.126
20 	 6317 	 v6317 	 0.122
21 	 745 	 v745 	 0.120
22 	 4307 	 v4307 	 0.115
23 	 7060 	 v7060 	 0.117
24 	 1536 	 v1536 	 0.118
25 	 2343 	 v2343 	 0.121
26 	 2382 	 v2382 	 0.122
27 	 699 	 v699 	 0.124
28 	 4379 	 v4379 	 0.118
29 	 4137 	 v4137 	 0.119
30 	 3374 	 v3374 	 0.117
31 	 6222 	 v6222 	 0.117
32 	 1770 	 v1770 	 0.116
33 	 5112 	 v5112 	 0.116
34 	 1666 	 v1666 	 0.117
35 	 6142 	 v6142 	 0.108
36 	 4892 	 v4892 	 0.107
37 	 4330 	 v4330 	 0.109
38 	 2304 	 v2304 	 0.110
39 	 6744 	 v6744 	 0.110
40 	 5534 	 v5534 	 0.109
41 	 2774 	 v2774 	 0.109
42 	 3788 	 v3788 	 0.106
43 	 5195 	 v5195 	 0.107
44 	 5774 	 v5774 	 0.109
45 	 2487 	 v2487 	 0.107
46 	 6480 	 v6480 	 0.106
47 	 4621 	 v4621 	 0.110
48 	 1850 	 v1850 	 0.107
49 	 4314 	 v4314 	 0.107
50 	 4152 	 v4152 	 0.108
